user_id,signup_date,city_tier,segment,preferred_device,total_orders,lifetime_value,avg_order_value
U000001,2025-07-16,1,premium,mobile,0.0,0.0,0.0
U000002,2025-12-29,3,regular,mobile,1.0,11632.7,11632.7
U000003,2025-11-26,3,value,mobile,0.0,0.0,0.0
U000004,2025-09-01,2,value,mobile,1.0,9153.61,9153.61
U000005,2025-10-06,1,regular,web,0.0,0.0,0.0
U000006,2025-11-09,1,value,web,0.0,0.0,0.0
U000007,2025-06-28,2,value,web,0.0,0.0,0.0
U000008,2025-10-06,2,premium,mobile,0.0,0.0,0.0
U000009,2025-11-24,2,value,mobile,0.0,0.0,0.0
U000010,2025-08-01,1,premium,mobile,0.0,0.0,0.0
U000011,2025-09-24,2,regular,web,0.0,0.0,0.0
U000012,2025-10-13,3,regular,web,0.0,0.0,0.0
U000013,2025-11-24,2,regular,mobile,1.0,5763.81,5763.81
U000014,2026-01-11,2,value,mobile,0.0,0.0,0.0
U000015,2025-12-18,1,regular,web,0.0,0.0,0.0
U000016,2025-10-31,2,value,web,0.0,0.0,0.0
U000017,2025-10-24,2,premium,web,2.0,18172.43,9086.215
U000018,2025-10-28,3,value,web,0.0,0.0,0.0
U000019,2025-10-15,3,value,web,1.0,7555.56,7555.56
U000020,2025-07-05,3,regular,web,0.0,0.0,0.0
U000021,2025-11-17,3,regular,mobile,0.0,0.0,0.0
U000022,2025-11-20,3,regular,web,0.0,0.0,0.0
U000023,2025-10-09,3,regular,web,0.0,0.0,0.0
U000024,2025-12-23,1,value,web,0.0,0.0,0.0
U000025,2025-11-11,1,regular,mobile,0.0,0.0,0.0
U000026,2025-09-07,2,value,web,0.0,0.0,0.0
U000027,2025-06-27,2,value,web,0.0,0.0,0.0
U000028,2025-07-05,1,value,web,0.0,0.0,0.0
U000029,2025-09-05,3,value,mobile,0.0,0.0,0.0
U000030,2025-09-28,2,value,mobile,0.0,0.0,0.0
U000031,2025-07-28,2,regular,web,0.0,0.0,0.0
U000032,2025-08-02,1,value,web,0.0,0.0,0.0
U000033,2025-08-10,2,value,web,0.0,0.0,0.0
U000034,2025-12-04,1,regular,mobile,0.0,0.0,0.0
U000035,2025-12-02,3,value,mobile,0.0,0.0,0.0
U000036,2025-09-11,2,regular,web,0.0,0.0,0.0
U000037,2025-07-29,3,premium,web,1.0,4987.15,4987.15
U000038,2025-07-16,2,regular,mobile,0.0,0.0,0.0
U000039,2025-07-11,2,premium,mobile,0.0,0.0,0.0
U000040,2025-09-13,2,value,web,1.0,7716.68,7716.68
U000041,2025-07-03,3,value,web,1.0,7521.55,7521.55
U000042,2025-09-01,3,regular,web,1.0,595.56,595.56
U000043,2026-01-11,1,regular,mobile,0.0,0.0,0.0
U000044,2025-10-08,3,regular,mobile,0.0,0.0,0.0
U000045,2025-12-13,1,value,mobile,0.0,0.0,0.0
U000046,2025-07-20,3,regular,mobile,0.0,0.0,0.0
U000047,2025-08-18,1,regular,web,1.0,4842.26,4842.26
U000048,2026-01-08,2,value,web,0.0,0.0,0.0
U000049,2025-09-11,3,value,web,0.0,0.0,0.0
U000050,2025-11-06,1,premium,mobile,0.0,0.0,0.0
U000051,2026-01-14,2,value,mobile,0.0,0.0,0.0
U000052,2025-10-17,2,regular,web,0.0,0.0,0.0
U000053,2025-08-26,1,regular,web,1.0,4816.43,4816.43
U000054,2025-10-13,3,regular,mobile,0.0,0.0,0.0
U000055,2025-07-04,3,regular,mobile,0.0,0.0,0.0
U000056,2025-07-17,3,premium,mobile,0.0,0.0,0.0
U000057,2025-06-24,2,value,web,1.0,3360.75,3360.75
U000058,2025-12-26,2,value,mobile,1.0,13218.46,13218.46
U000059,2025-11-11,1,regular,mobile,0.0,0.0,0.0
U000060,2025-08-25,1,regular,mobile,0.0,0.0,0.0
U000061,2025-08-08,1,value,mobile,0.0,0.0,0.0
U000062,2025-11-13,3,value,mobile,0.0,0.0,0.0
U000063,2026-01-02,3,value,mobile,0.0,0.0,0.0
U000064,2025-08-25,3,value,mobile,0.0,0.0,0.0
U000065,2025-08-29,2,value,web,1.0,2272.9,2272.9
U000066,2025-12-19,2,premium,web,1.0,18171.94,18171.94
U000067,2025-12-28,2,value,mobile,1.0,14428.02,14428.02
U000068,2026-01-01,2,premium,mobile,0.0,0.0,0.0
U000069,2025-08-24,2,premium,web,0.0,0.0,0.0
U000070,2025-07-18,1,value,web,1.0,7896.56,7896.56
U000071,2025-09-23,1,regular,mobile,0.0,0.0,0.0
U000072,2025-08-24,3,regular,mobile,0.0,0.0,0.0
U000073,2025-12-26,2,regular,mobile,0.0,0.0,0.0
U000074,2025-07-01,3,value,web,0.0,0.0,0.0
U000075,2025-11-03,1,value,mobile,0.0,0.0,0.0
U000076,2025-12-30,2,value,mobile,0.0,0.0,0.0
U000077,2026-01-14,1,regular,web,0.0,0.0,0.0
U000078,2025-11-06,2,premium,web,0.0,0.0,0.0
U000079,2026-01-08,1,regular,mobile,0.0,0.0,0.0
U000080,2025-07-09,1,regular,web,0.0,0.0,0.0
U000081,2025-09-06,3,premium,mobile,0.0,0.0,0.0
U000082,2025-06-25,2,regular,mobile,1.0,8970.92,8970.92
U000083,2026-01-15,2,value,mobile,0.0,0.0,0.0
U000084,2025-12-30,2,premium,web,0.0,0.0,0.0
U000085,2025-06-29,2,regular,mobile,0.0,0.0,0.0
U000086,2025-06-27,2,value,web,0.0,0.0,0.0
U000087,2025-09-08,1,regular,mobile,0.0,0.0,0.0
U000088,2025-08-16,3,premium,web,0.0,0.0,0.0
U000089,2025-12-18,3,value,mobile,0.0,0.0,0.0
U000090,2025-07-27,3,regular,mobile,0.0,0.0,0.0
U000091,2025-12-06,2,value,web,0.0,0.0,0.0
U000092,2025-10-17,1,value,web,0.0,0.0,0.0
U000093,2025-09-10,3,value,mobile,1.0,10516.94,10516.94
U000094,2025-07-24,2,regular,web,0.0,0.0,0.0
U000095,2026-01-18,1,premium,web,0.0,0.0,0.0
U000096,2025-10-31,2,value,web,0.0,0.0,0.0
U000097,2025-09-23,3,value,mobile,0.0,0.0,0.0
U000098,2025-09-09,2,value,mobile,0.0,0.0,0.0
U000099,2025-12-30,3,value,web,0.0,0.0,0.0
U000100,2025-12-12,3,regular,mobile,0.0,0.0,0.0
U000101,2025-12-10,1,regular,web,1.0,6894.45,6894.45
U000102,2025-10-30,3,regular,web,0.0,0.0,0.0
U000103,2025-12-26,2,regular,web,0.0,0.0,0.0
U000104,2025-08-25,2,regular,web,0.0,0.0,0.0
U000105,2025-11-18,1,value,web,0.0,0.0,0.0
U000106,2025-09-16,3,value,mobile,0.0,0.0,0.0
U000107,2025-10-27,2,premium,web,0.0,0.0,0.0
U000108,2026-01-19,1,regular,mobile,0.0,0.0,0.0
U000109,2026-01-16,2,premium,web,0.0,0.0,0.0
U000110,2025-10-09,1,premium,web,1.0,7500.35,7500.35
U000111,2025-10-21,1,regular,web,0.0,0.0,0.0
U000112,2025-12-28,2,premium,mobile,0.0,0.0,0.0
U000113,2026-01-16,2,regular,mobile,1.0,4696.73,4696.73
U000114,2025-12-03,3,value,web,1.0,7094.32,7094.32
U000115,2025-07-07,2,value,web,0.0,0.0,0.0
U000116,2025-08-30,3,value,web,0.0,0.0,0.0
U000117,2025-12-28,2,value,mobile,0.0,0.0,0.0
U000118,2025-12-01,2,regular,web,0.0,0.0,0.0
U000119,2025-11-26,2,regular,mobile,0.0,0.0,0.0
U000120,2025-11-10,2,regular,web,0.0,0.0,0.0
U000121,2025-09-18,3,regular,web,0.0,0.0,0.0
U000122,2025-09-16,2,value,mobile,0.0,0.0,0.0
U000123,2025-12-10,1,regular,web,1.0,13081.56,13081.56
U000124,2025-08-24,2,regular,web,0.0,0.0,0.0
U000125,2025-11-14,3,value,mobile,0.0,0.0,0.0
U000126,2025-11-22,1,value,web,0.0,0.0,0.0
U000127,2025-12-17,2,value,web,0.0,0.0,0.0
