campaign_id,channel,campaign_name
C001,organic,organic_camp_001
C002,organic,organic_camp_002
C003,organic,organic_camp_003
C004,organic,organic_camp_004
C005,organic,organic_camp_005
C006,organic,organic_camp_006
C007,organic,organic_camp_007
C008,organic,organic_camp_008
C009,search,search_camp_009
C010,search,search_camp_010
C011,search,search_camp_011
C012,search,search_camp_012
C013,search,search_camp_013
C014,search,search_camp_014
C015,search,search_camp_015
C016,search,search_camp_016
C017,search,search_camp_017
C018,search,search_camp_018
C019,paid_social,paid_social_camp_019
C020,paid_social,paid_social_camp_020
C021,paid_social,paid_social_camp_021
C022,paid_social,paid_social_camp_022
C023,paid_social,paid_social_camp_023
C024,paid_social,paid_social_camp_024
C025,paid_social,paid_social_camp_025
C026,paid_social,paid_social_camp_026
C027,paid_social,paid_social_camp_027
C028,paid_social,paid_social_camp_028
C029,email,email_camp_029
C030,email,email_camp_030
C031,email,email_camp_031
C032,email,email_camp_032
C033,email,email_camp_033
C034,email,email_camp_034
C035,referral,referral_camp_035
C036,referral,referral_camp_036
C037,referral,referral_camp_037
C038,referral,referral_camp_038
C039,referral,referral_camp_039
C040,referral,referral_camp_040
