session_id,user_id,session_start_ts,device,channel,campaign_id,variant,is_new_user
S0000001,U001627,2025-10-26T15:56:31,web,organic,C025,A,1
S0000002,U001038,2025-12-09T21:56:53,mobile,paid_social,C037,,0
S0000003,,2025-11-24T21:24:21,web,organic,C034,,0
S0000004,U001072,2025-12-02T06:51:38,mobile,organic,C013,,0
S0000005,U001301,2025-11-28T16:03:05,mobile,paid_social,C004,,1
S0000006,U001775,2025-11-04T05:23:59,web,email,C005,,1
S0000007,U001565,2025-11-10T06:23:02,web,organic,C009,A,1
S0000008,U000613,2025-10-27T06:33:38,mobile,email,C025,,0
S0000009,U000544,2025-10-31T19:35:34,mobile,organic,C020,,0
S0000010,,2026-01-17T10:49:44,web,organic,C012,,0
S0000011,U001420,2025-11-15T14:54:56,web,organic,C008,B,0
S0000012,U000809,2025-11-18T01:45:04,mobile,organic,C021,,0
S0000013,U001845,2025-11-01T21:07:32,web,organic,C039,,0
S0000014,U000921,2025-12-28T09:43:51,web,paid_social,C031,,0
S0000015,U000739,2026-01-12T14:43:28,web,email,C011,A,0
S0000016,U001223,2025-12-31T12:26:14,web,organic,C023,A,0
S0000017,U000425,2025-12-15T13:49:34,web,organic,C021,A,0
S0000018,U001531,2026-01-02T15:09:33,mobile,search,C033,,0
S0000019,U001974,2025-11-26T19:42:48,mobile,search,C014,,0
S0000020,U002080,2026-01-06T19:05:25,web,email,C014,B,0
S0000021,U000983,2026-01-01T07:22:36,web,organic,C018,,0
S0000022,U000592,2025-10-21T14:18:04,mobile,paid_social,C007,,0
S0000023,U001054,2025-12-04T08:12:41,web,search,C035,B,1
S0000024,U000229,2025-11-14T06:08:52,mobile,email,C016,,1
S0000025,U001470,2025-10-29T04:50:21,web,organic,C035,A,1
S0000026,U000944,2026-01-05T14:21:34,mobile,organic,C017,,0
S0000027,U000269,2025-10-22T03:44:50,web,organic,C028,A,1
S0000028,,2025-12-26T03:43:45,mobile,paid_social,C029,,0
S0000029,U001581,2026-01-18T09:04:16,mobile,search,C032,,0
S0000030,,2025-12-03T19:44:19,web,paid_social,C028,,0
S0000031,U000891,2025-11-23T20:27:20,mobile,organic,C028,,0
S0000032,,2025-12-14T23:10:31,web,organic,C013,,0
S0000033,U001562,2026-01-01T20:43:24,web,search,C003,,0
S0000034,U001758,2025-11-12T01:31:13,mobile,organic,C038,,0
S0000035,U000990,2025-11-13T00:05:28,mobile,referral,C034,,1
S0000036,U001087,2025-12-15T02:04:50,web,email,C012,,0
S0000037,,2026-01-14T00:42:59,web,organic,C001,,0
S0000038,,2025-11-17T07:12:23,web,paid_social,C040,,0
S0000039,U000318,2025-11-24T08:21:58,web,organic,C004,A,0
S0000040,U000090,2026-01-18T20:10:33,web,referral,C002,B,0
S0000041,U001832,2025-11-06T07:12:57,web,paid_social,C040,B,0
S0000042,U001182,2025-10-28T08:49:38,web,organic,C027,A,0
S0000043,,2025-12-13T12:26:50,mobile,paid_social,C025,,0
S0000044,U001311,2025-10-23T14:59:34,mobile,organic,C025,,0
S0000045,U000908,2025-11-06T16:18:42,mobile,organic,C030,,0
S0000046,U001962,2025-12-16T10:32:52,web,organic,C024,,0
S0000047,U001034,2025-12-19T19:07:22,web,search,C030,,1
S0000048,U001103,2025-12-06T09:05:40,web,organic,C032,A,1
S0000049,U001169,2025-11-24T23:28:18,web,referral,C009,A,0
S0000050,U000347,2025-12-12T07:09:46,web,search,C024,B,0
S0000051,U000382,2025-12-18T08:17:21,web,email,C014,B,0
S0000052,U000397,2026-01-01T18:05:50,mobile,organic,C025,,0
S0000053,U000559,2025-12-31T18:55:04,mobile,email,C007,,0
S0000054,U000352,2025-12-20T06:32:44,web,paid_social,C036,A,0
S0000055,U000494,2026-01-09T22:07:06,web,paid_social,C011,B,1
S0000056,U002065,2026-01-04T20:42:38,mobile,email,C008,,0
S0000057,U000794,2025-11-02T10:23:15,mobile,search,C005,,0
S0000058,U001746,2026-01-15T13:00:13,web,paid_social,C022,A,0
S0000059,U000866,2026-01-09T16:44:22,mobile,email,C015,,1
S0000060,,2025-11-19T07:46:43,web,organic,C029,,0
S0000061,U001657,2025-10-23T06:10:28,mobile,organic,C017,,0
S0000062,,2025-12-14T19:09:51,mobile,referral,C013,,0
S0000063,U000635,2025-11-29T21:33:29,web,EMAIL,C013,A,1
S0000064,U000211,2025-12-27T21:38:24,web,search,C009,A,0
S0000065,U000678,2025-12-07T15:42:41,mobile,email,C028,,1
S0000066,U001545,2025-10-28T07:47:43,mobile,email,C006,,1
S0000067,U001440,2025-11-12T11:06:03,mobile,search,C037,,0
S0000068,U001550,2026-01-08T20:49:38,web,organic,C011,B,0
S0000069,U002186,2025-10-24T19:59:09,mobile,search,C001,,0
S0000070,U000495,2025-12-26T17:46:57,mobile,search,C027,,1
S0000071,U000978,2025-11-16T17:10:26,mobile,organic,C029,,0
S0000072,U001080,2025-12-01T04:16:41,web,referral,C025,A,1
S0000073,,2025-12-08T05:32:52,web,paid_social,C015,,0
